Year,Initial Amount,Final Amount,Total Invested
1,50000000.00,55235653.37,50000000.00
2,55235653.37,61019548.07,50000000.00
3,61019548.07,67409092.12,50000000.00
4,67409092.12,74467704.93,50000000.00
5,74467704.93,82265446.74,50000000.00
6,82265446.74,90879714.01,50000000.00
7,90879714.01,100396007.63,50000000.00
8,100396007.63,110908781.55,50000000.00
9,110908781.55,122522380.27,50000000.00
10,122522380.27,135352074.54,50000000.00
11,135352074.54,149525205.45,50000000.00
12,149525205.45,165182448.38,50000000.00
13,165182448.38,182479209.23,50000000.00
14,182479209.23,201587166.98,50000000.00
15,201587166.98,222695977.59,50000000.00
16,222695977.59,246015156.51,50000000.00
17,246015156.51,271776158.18,50000000.00
18,271776158.18,300234673.36,50000000.00
19,300234673.36,331673166.96,50000000.00
20,331673166.96,366403681.66,50000000.00
